English name,Score,Genres,Type,Producers,Studios,Rank,Popularity,Favorites,Scored By,Members,Weighted_Score,Premiered Season,Premiered Year
ReLIFE,7.97,"Drama, Romance",TV,"Aniplex, Half H.P Studio, comico, Hakuhodo DY Media Partners, Lawson, C & I entertainment, TMS Music",TMS Entertainment,626.0,148,9675,553586.0,989642,84.21544325152395,summer,2016
Nanbaka,7.33,"Action, Comedy, Drama",TV,"Nihon Ad Systems, DAX Production, Sony Music Communications, Crunchyroll, comico, Tokuma Japan Communications, Nelke Planning",Satelight,2365.0,685,2095,138970.0,320309,70.09894841035604,fall,2016
Chaos Dragon,5.62,"Action, Fantasy",TV,"Sotsu, TOHO animation","SILVER LINK., Connect",10389.0,1844,123,43218.0,107745,56.292789674297445,summer,2015
Snow White with the Red Hair,7.76,"Drama, Fantasy, Romance",TV,"Hakusensha, Warner Bros. Japan, KlockWorx, Showgate",Bones,994.0,296,7280,317358.0,644304,78.60022299782372,summer,2015
Danchigai,6.5,"Comedy, Slice of Life",TV,"DAX Production, Dream Creation",Creators in Pack,6379.0,1759,123,54314.0,114927,59.89440285569256,summer,2015
Beautiful Bones -Sakurako's Investigation-,7.42,"Drama, Mystery, Suspense",TV,"Lantis, DAX Production, Kadokawa",TROYCA,1988.0,1064,953,88893.0,210252,65.91349468243499,fall,2015
Aoharu x Machinegun,7.16,Sports,TV,"TBS, DAX Production, chara-ani.com, Sony Music Communications, King Records, NichiNare",Brain's Base,3223.0,1042,1313,100767.0,215590,66.77739758336295,summer,2015
Ace of Diamond: Second Season,8.3,Sports,TV,"TV Tokyo, Sotsu, Pony Canyon, Kodansha, AT-X","Production I.G, Madhouse",241.0,1570,1054,73353.0,132275,65.14237717515917,spring,2015
Prison School,7.61,"Comedy, Romance, Ecchi",TV,"Genco, Kodansha, Movic, Warner Bros. Japan, KlockWorx, Showgate",J.C.Staff,1371.0,150,7172,575151.0,970931,84.13834615895632,summer,2015
Venus Project: Climax,5.28,Action,TV,Imagine,Nomad,11408.0,6957,5,1894.0,7076,25.57386560715815,summer,2015
One Punch Man,8.5,"Action, Comedy",TV,"TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, JR East Marketing & Communications",Madhouse,127.0,4,62408,2131099.0,3058666,97.81663184046867,fall,2015
Chivalry of a Failed Knight,7.44,"Action, Fantasy, Romance, Ecchi",TV,"Frontier Works, Media Factory, AT-X, flying DOG, Hakuhodo DY Music & Pictures, Animatic, SB Creative","SILVER LINK., Nexus",1923.0,164,8510,534367.0,908646,83.21248558407788,fall,2015
Monster Musume: Everyday Life with Monster Girls,6.97,"Comedy, Fantasy, Romance, Ecchi",TV,"Genco, Studio Hibari, TOHO animation, Toho Music",Lerche,4092.0,248,3877,416521.0,723812,80.18475751767991,summer,2015
THE IDOLM@STER CINDERELLA GIRLS 2nd SEASON,7.34,"Comedy, Drama",TV,"Aniplex, Half H.P Studio, Nippon Columbia, Bandai Namco Games, Anime Consortium Japan",A-1 Pictures,2302.0,3504,145,17076.0,35555,49.921763489575305,summer,2015
Wakaba Girl,6.88,"Comedy, Slice of Life",TV,"Showgate, NBCUniversal Entertainment Japan",Nexus,4483.0,3163,65,18600.0,42792,50.12175491288288,summer,2015
The Testament of Sister New Devil: Burst,6.81,"Action, Fantasy, Romance, Ecchi",TV,"Kadokawa Shoten, Nippon Columbia",Production IMS,4814.0,553,569,212822.0,384049,73.49467122134602,fall,2015
Starmyu,6.88,Slice of Life,TV,NBCUniversal Entertainment Japan,C-Station,4475.0,3098,246,16463.0,44494,48.946444249224086,fall,2015
Classroom☆Crisis,6.97,"Drama, Romance, Sci-Fi",TV,"Aniplex, Dentsu, Mainichi Broadcasting System, Movic, Animatic, Kadokawa",Lay-duce,4110.0,1705,194,47773.0,119673,59.330961413061544,summer,2015
Valkyrie Drive: Mermaid,6.05,"Action, Fantasy, Girls Love, Ecchi",TV,Genco,Arms,8599.0,1534,432,54602.0,136563,59.25443034163264,fall,2015
Steins;Gate 0,8.53,"Drama, Sci-Fi, Suspense",TV,"Frontier Works, Movic, Kadokawa",White Fox,114.0,191,11404,402740.0,830136,81.80578214801037,spring,2018
ChäoS;Child,6.32,"Mystery, Sci-Fi, Supernatural",TV,"AT-X, MAGES., Glovision, 5pb., Kadokawa",SILVER LINK.,7266.0,1603,208,41719.0,129184,57.08329642611772,winter,2017
Noragami Aragoto,8.16,"Action, Fantasy",TV,"Dentsu, Shochiku, Kodansha, Ai Addiction, Avex Pictures, A-Sketch",Bones,396.0,78,11428,865558.0,1402622,88.74658263856223,fall,2015
Kagewani,6.36,"Horror, Mystery, Supernatural, Suspense",TV,Directions,Tomovies,7091.0,3652,30,13176.0,32457,46.04483145933816,fall,2015
The Asterisk War,6.82,"Action, Comedy, Fantasy, Romance, Sci-Fi, Ecchi",TV,"Aniplex, Animax, Movic, DAX Production, flying DOG, Bandai Namco Entertainment, Asahi Broadcasting",A-1 Pictures,4777.0,297,2180,365337.0,639650,78.71257653238231,fall,2015
Teekyu 5,6.64,Comedy,TV,"DAX Production, Earth Star Entertainment",Millepensee,5636.0,4663,14,10575.0,19155,44.342047217897054,summer,2015
Long Riders!,6.7,"Comedy, Slice of Life, Sports",TV,"Lantis, DAX Production, NBCUniversal Entertainment Japan, Hakuhodo DY Music & Pictures, Ichijinsha, Bandai Channel",Actas,5310.0,3973,61,9751.0,27279,43.647461895794756,fall,2016
Assassination Classroom Second Season,8.49,"Action, Comedy",TV,"Dentsu, Studio Hibari, Fuji TV, DAX Production, Avex Pictures, Shueisha, Kansai Telecasting",Lerche,132.0,84,17268,847046.0,1360488,88.92017005582525,winter,2016
Dragon Ball Super,7.43,"Action, Adventure, Comedy, Fantasy",TV,"Yomiko Advertising, Fuji TV",Toei Animation,1953.0,218,9968,507547.0,787310,82.70364359774088,summer,2015
makuranodanshi,4.46,Slice of Life,TV,Earth Star Entertainment,"feel., Assez Finaud Fabric",12491.0,3218,56,21342.0,41476,47.271699950237945,summer,2015
Hackadoll The Animation,6.36,"Comedy, Sci-Fi",TV,"Nihon Ad Systems, AT-X, KlockWorx, Trigger, DIVE II Entertainment, Good Smile Company, Avex Pictures, DeNA, Ichijinsha",Creators in Pack,7079.0,2902,69,17349.0,50413,48.69441781337399,fall,2015
Saekano: How to Raise a Boring Girlfriend .flat,7.76,"Comedy, Romance, Ecchi",TV,"Aniplex, Dentsu, Fuji TV, Cospa, Good Smile Company, Kansai Telecasting, Fujimi Shobo",A-1 Pictures,1008.0,619,1671,179949.0,351978,73.13650333460238,spring,2017
Rage of Bahamut: Virgin Soul,7.43,"Action, Adventure, Fantasy",TV,Cygames,MAPPA,1975.0,952,997,87448.0,234925,65.76863589282712,spring,2017
Young Black Jack,7.22,Drama,TV,"TBS, Grooove, Being",Tezuka Productions,2916.0,2175,147,34889.0,82155,56.64368914040899,fall,2015
Undefeated Bahamut Chronicle,6.54,"Action, Fantasy, Romance, Ecchi",TV,"Lantis, Orange",Lerche,6152.0,552,1013,192885.0,384082,72.15784684327178,winter,2016
Bikini Warriors,5.11,"Comedy, Fantasy, Ecchi",TV,"Hobby Japan, Studio Mausu",feel.,11769.0,2111,154,40454.0,87763,54.74019008586278,summer,2015
Bakuon!!,6.48,"Comedy, Slice of Life",TV,"Lantis, DAX Production, NBCUniversal Entertainment Japan, Akita Shoten, eBooK Initiative Japan",TMS Entertainment,6460.0,2601,128,23656.0,61700,51.8605307665998,spring,2016
Schwarzes Marken,6.74,"Action, Drama, Sci-Fi",TV,"Sotsu, DAX Production, Ultra Super Pictures, Avex Pictures","ixtl, LIDENFILMS",5146.0,1831,298,43326.0,109153,58.0668853895245,winter,2016
KonoSuba: God's Blessing on This Wonderful World!,8.11,"Adventure, Comedy, Fantasy",TV,"Half H.P Studio, Nippon Columbia, KlockWorx, Sony Music Communications, Toranoana, 81 Produce, Kadokawa Media House, Kadokawa",Studio Deen,442.0,38,43506,1212458.0,1862270,91.93304163622093,winter,2016
Haruchika: Haruta & Chika,6.33,"Mystery, Romance",TV,"Lantis, Glovision, Kadokawa",P.A. Works,7210.0,2060,135,32007.0,90630,54.546528452971636,winter,2016
Utawarerumono: The False Faces,7.26,"Action, Drama, Fantasy",TV,"KlockWorx, Toranoana, AQUAPLUS, ensky, King Records",White Fox,2754.0,1829,402,44520.0,109321,59.04439367965131,fall,2015
Tales of Zestiria the X,7.24,"Action, Adventure, Fantasy",TV,"Bandai Visual, Lantis, Bandai Namco Entertainment, Anime Consortium Japan",ufotable,2829.0,693,789,140926.0,319192,70.11457364899019,summer,2016
ERASED,8.31,"Mystery, Supernatural, Suspense",TV,"Aniplex, Dentsu, Kadokawa Shoten, Fuji TV, DAX Production, Kyoraku Industrial Holdings, Kansai Telecasting, Lawson, Kanetsu Investment, C-one",A-1 Pictures,237.0,30,46556,1301165.0,1994083,92.84763494061843,winter,2016
Anne-Happy,6.96,"Comedy, Slice of Life",TV,"Sotsu, AT-X, KlockWorx, Asmik Ace, Houbunsha, BS Fuji, DIVE II Entertainment, Grooove, Avex Pictures, Crunchyroll, Contents Seed, FuRyu",SILVER LINK.,4124.0,2278,275,32697.0,77060,55.66562101408974,spring,2016
Komori-san Can't Decline!,6.24,"Comedy, Slice of Life",TV,"Genco, DAX Production, bilibili",Artland,7682.0,2392,75,30567.0,71211,53.96531745045644,fall,2015
Ushio & Tora (2016),7.9,"Action, Adventure, Comedy, Supernatural",TV,"Sotsu, Showgate, Tokuma Japan Communications, Daiichi Shokai","MAPPA, Studio VOLN",725.0,1610,309,64369.0,128602,63.408532769831126,spring,2016
First Love Monster,5.48,"Comedy, Romance",TV,"Kodansha, AT-X, DAX Production, KlockWorx, Sony Music Communications, King Records",Studio Deen,10838.0,1824,149,40281.0,109486,55.37211699484113,summer,2016
"Rainy Cocoa, Welcome to Rainy Color",4.76,"Comedy, Slice of Life",TV,DAX Production,EMT Squared,12258.0,5922,3,4912.0,10526,33.752298781042775,fall,2015
Concrete Revolutio,6.66,"Action, Drama, Fantasy, Mystery, Sci-Fi",TV,"Bandai Visual, Lantis, Tokyo MX, Animatic, Hakuhodo DY Media Partners, Techno Sound, Anime Consortium Japan",Bones,5513.0,2117,209,26786.0,87291,53.321042684014586,fall,2015
ClassicaLoid,6.42,Comedy,TV,"NHK, Bandai Namco Pictures",Sunrise,6752.0,4077,89,6796.0,25966,39.75960978683782,fall,2016
Dimension W,7.19,"Action, Sci-Fi",TV,"Bandai Visual, Square Enix, Lantis, Tokyo MX, Good Smile Company, Q-Tec, I Will","Orange, Studio 3Hz",3085.0,762,823,137165.0,292061,69.7873384003591,winter,2016
