English name,Score,Genres,Type,Producers,Studios,Rank,Popularity,Favorites,Scored By,Members,Weighted_Score
My Holy Weapon,6.38,"Adventure, Comedy, Fantasy, Romance, Supernatural",ONA,Tencent Animation & Comics,"Haoliners Animation League, Pb Animation Co. Ltd.",6963.0,5259,24,3006.0,14039,34.64400893663098
Sirius the Jaeger,6.98,"Action, Supernatural",TV,"Sotsu, Warner Bros. Japan, Infinite",P.A. Works,4083.0,934,670,108039.0,239454,68.55053190423682
Sorcerous Stabber Orphen,5.83,"Action, Adventure, Drama, Fantasy",TV,"WOWOW, Genco, Lantis, BS Fuji, Nippon Television Network, Forecast Communications, Yomiuri TV Enterprise, Marui Group, Bandai Namco Arts, TO Books, MediaNet Pictures",Studio Deen,9565.0,2459,65,23422.0,68214,52.77018048286812
Ms. Vampire who lives in my neighborhood.,7.09,"Comedy, Supernatural",TV,Nippon Columbia,"Studio Gokumi, AXsiZ",3589.0,1905,332,41309.0,102008,59.81676234020059
The Diary of Our Days,6.63,Slice of Life,ONA,Half H.P Studio,CloverWorks,5664.0,7406,18,1719.0,6047,29.838404926565094
DAKAICHI -I'm being harassed by the sexiest man of the year-,7.38,"Boys Love, Comedy, Drama, Romance",TV,"Aniplex, Movic, Libre, animate",CloverWorks,2139.0,1436,1776,74779.0,149304,65.6672358742758
MAGATSU WAHRHEIT,6.55,"Action, Fantasy",TV,"WOWOW, NBCUniversal Entertainment Japan, Tokyo MX, Q-Tec, Chugai Mining, BS11, KLab, Marui Group, Bit grooove promotion",Yokohama Animation Lab,6059.0,3510,62,11933.0,35517,47.61810348951437
Cinderella Chef,7.28,"Comedy, Drama, Gourmet, Romance",ONA,"bilibili, China Literature Limited, Yuewen Animation & Comics",Wawayu Animation,2634.0,4287,134,8021.0,23190,44.9255516275445
Modest Heroes,6.84,"Action, Adventure, Award Winning, Drama, Fantasy",Movie,"Dentsu, Toho, Nippon Television Network",Studio Ponoc,4646.0,4083,33,13234.0,25875,48.97375548254782
Working Buddies! No 2!,6.4,Comedy,TV,"Lantis, Movic, Half H.P Studio, BS Fuji, Tokyo MX, Good Smile Company, Bandai Namco Arts","Fanworks, Tomovies",6896.0,8932,7,1688.0,3598,29.344354766400667
Gakuen Basara: Samurai High School,6.18,"Action, Comedy",TV,"TBS, DAX Production, High Kick Entertainment",Brain's Base,7977.0,4769,27,4179.0,18259,37.39218977003592
Late night! The Genius Bakabon,5.98,"Comedy, Slice of Life",TV,"Pierrot, Dentsu, TV Tokyo Music, Avex Pictures, Shogakukan, Daiichi Shokai",Pierrot Plus,8933.0,9166,3,1172.0,3324,25.348944228062603
Overlord III,7.92,"Action, Adventure, Fantasy",TV,"AT-X, Hakuhodo DY Music & Pictures, NTT Plala, Kadokawa",Madhouse,696.0,185,5260,530738.0,854053,84.41653335939802
